gen,nevals,min,avg,max,std,best,traps
0,225,685.7428315597505,948.0085642117808,1483.119531174171,158.69136230275447,99,"[196, 130, 104, 52, 84, 138, 26, 120, 29, 71, 216, 108, 8, 24, 212]"
1,105,694.8377826174302,867.7962009833885,1405.8499417191256,132.54763299151006,131,"[7, 48, 106, 173, 19, 184, 85, 83, 202, 225, 67, 233, 206, 24, 212]"
2,135,636.191348012647,838.9216224337064,1478.4652271593425,139.21026839954993,177,"[88, 170, 29, 188, 6, 194, 149, 116, 99, 147, 216, 189, 32, 24, 212]"
3,136,636.191348012647,811.9424110807419,1396.8802958594072,123.17200416217892,137,"[88, 170, 29, 188, 6, 194, 149, 116, 99, 147, 216, 189, 32, 24, 212]"
4,121,636.191348012647,799.874332485316,1312.1971420666018,143.86875111442197,118,"[88, 170, 29, 188, 6, 194, 149, 116, 99, 147, 216, 189, 32, 24, 212]"
5,146,643.4806502815269,802.9960323095451,1377.7704095269382,142.7350861437493,65,"[23, 147, 199, 224, 223, 85, 31, 22, 213, 214, 180, 75, 150, 24, 212]"
6,123,640.3706080916384,780.2644439704761,1356.1251050033402,125.48007212627384,201,"[23, 147, 40, 173, 81, 184, 85, 83, 202, 225, 66, 208, 28, 24, 212]"
7,116,640.3706080916384,764.751362124191,1321.5126778807335,123.51218023479369,126,"[23, 147, 40, 173, 81, 184, 85, 83, 202, 225, 66, 208, 28, 24, 212]"
8,128,640.3706080916384,770.2432307800577,1330.347410142022,137.7722688284479,51,"[23, 147, 40, 173, 81, 184, 85, 83, 202, 225, 66, 208, 28, 24, 212]"
9,122,613.8393473117408,758.319096101847,1323.9907453306337,125.64374967013242,209,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
10,118,613.8393473117408,742.6141975162033,1333.4137199260292,114.27901701951913,125,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
11,142,613.8393473117408,761.6215608628639,1305.3049814195424,124.45340990685318,12,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
12,121,613.8393473117408,754.1689982986267,1217.0524516009991,119.18075596310628,78,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
13,124,613.8393473117408,760.1354091410719,1371.2171856032176,133.80364513172535,31,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
14,130,613.8393473117408,760.6949964899533,1361.6399369209807,137.63101729600442,29,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
15,128,613.8393473117408,776.0376928907206,1424.5654764188146,169.84569900646304,7,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
16,141,613.8393473117408,762.8796753415512,1261.3316044470146,137.26623857871058,8,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
17,124,613.8393473117408,746.0781875811566,1237.1845871581745,123.7381063418024,10,"[7, 14, 26, 173, 189, 134, 191, 74, 174, 147, 84, 233, 119, 24, 212]"
18,126,608.4258832498258,751.4949720485263,1419.8313872049794,140.0950761992198,164,"[7, 14, 26, 173, 189, 134, 191, 74, 116, 147, 84, 233, 119, 24, 212]"
