gen,nevals,min,avg,max,std,best,traps
0,150,1169.1045090269558,1584.2024538499552,2604.925160242007,251.2919979897787,70,"[219, 108, 35, 77, 82, 14, 121, 166, 24, 212]"
1,85,1120.8612078735928,1430.3619978950398,1923.674063307158,181.33816084688212,47,"[38, 173, 28, 132, 99, 129, 135, 151, 24, 212]"
2,83,1094.3346433061033,1369.9369766482735,2061.929568675327,190.37234080249422,23,"[18, 224, 67, 64, 207, 202, 0, 116, 24, 212]"
3,98,1104.7948282978825,1374.9278159507846,2293.218076249242,248.50657685034253,27,"[210, 119, 84, 123, 222, 29, 125, 166, 24, 212]"
4,83,1085.8827021978614,1304.1681280181735,1975.0899570909894,197.4532355428496,90,"[210, 108, 84, 125, 116, 14, 121, 166, 24, 212]"
5,95,1035.047148572613,1293.7537820803273,1958.8192112802217,197.84965648638763,11,"[189, 94, 9, 27, 120, 202, 105, 183, 24, 212]"
6,78,1042.9730060637914,1267.9079425377763,1880.893001257393,178.9968749590129,130,"[210, 108, 84, 64, 174, 8, 121, 233, 24, 212]"
7,77,1042.9730060637914,1255.695564775457,2452.5211542733346,220.49280823647246,13,"[210, 108, 84, 64, 174, 8, 121, 233, 24, 212]"
8,84,1033.4944964173228,1244.7607264379099,1990.1246069829642,203.30938792095677,83,"[32, 189, 191, 110, 17, 77, 126, 136, 24, 212]"
9,90,1030.2299199573993,1264.2945049103505,2273.02039943743,224.7709893656503,63,"[210, 184, 84, 219, 116, 14, 194, 166, 24, 212]"
10,89,1002.0914518770102,1258.4936645589685,2405.207350735835,234.1323217379484,6,"[210, 108, 84, 34, 174, 14, 121, 233, 24, 212]"
11,78,1002.0914518770102,1197.7739475337603,1922.4120603824722,199.42510059642618,11,"[210, 108, 84, 34, 174, 14, 121, 233, 24, 212]"
12,74,1002.0914518770102,1194.7053614285483,2033.6874096474653,204.28767130007725,116,"[210, 108, 84, 34, 174, 14, 121, 233, 24, 212]"
13,93,1000.680984346085,1253.6636762388232,1982.9036989708404,268.7728726442983,115,"[32, 172, 191, 91, 17, 77, 194, 136, 24, 212]"
14,73,1000.680984346085,1178.1253293354991,1884.428868047293,203.52861120596796,9,"[32, 172, 191, 91, 17, 77, 194, 136, 24, 212]"
15,75,1000.680984346085,1181.4974210748617,1857.428842140665,218.4072576134881,2,"[32, 172, 191, 91, 17, 77, 194, 136, 24, 212]"
16,80,1000.680984346085,1184.050239304477,1964.5101769123492,224.25589091077384,149,"[32, 172, 191, 91, 17, 77, 194, 136, 24, 212]"
17,76,1000.680984346085,1158.2820929994803,1954.1359079941583,212.8071851692738,14,"[32, 172, 191, 91, 17, 77, 194, 136, 24, 212]"
18,83,998.7423639101999,1185.5482631439154,1998.9957315277231,231.0288351143315,147,"[210, 108, 84, 34, 174, 14, 113, 218, 24, 212]"
19,90,998.7423639101999,1158.978243707697,1929.0302208069259,215.48489673726453,2,"[210, 108, 84, 34, 174, 14, 113, 218, 24, 212]"
20,91,996.6741088047912,1128.6286345395843,1785.5496476656404,183.71272471033492,112,"[210, 108, 84, 34, 174, 8, 113, 233, 24, 212]"
21,100,989.2316676772551,1184.8510694549582,2085.4046525433073,246.68277857431514,118,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
22,82,989.2316676772551,1134.6762526049895,1779.748845427903,194.05173679097283,3,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
23,79,989.2316676772551,1129.3739301491062,1904.0041798609861,203.80519827106667,8,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
24,78,989.2316676772551,1129.3930669363017,2154.775484065673,222.65308357551626,22,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
25,82,958.025198127145,1127.037519318137,2283.2216428179636,212.59526604419733,98,"[210, 108, 84, 34, 174, 14, 113, 228, 24, 212]"
26,88,989.2316676772551,1161.1288159979426,1840.1610925832115,222.91673667388366,4,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
27,82,989.2316676772551,1148.8086636552769,1848.558527640018,219.90140114517914,0,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
28,81,989.2316676772551,1113.3486994097282,1838.6309529937732,191.21200687309732,2,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
29,94,989.2316676772551,1155.375056662128,1744.0721169888845,210.55383574335417,3,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
30,83,989.2316676772551,1164.8268647842879,2193.7790654490514,254.48867410650288,0,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
31,85,989.2316676772551,1163.5263998467165,2366.058008860566,273.1496063783236,3,"[210, 108, 84, 34, 174, 14, 113, 233, 24, 212]"
32,84,986.3924555921866,1122.22458028923,2096.283692816064,222.5267620432298,40,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
33,80,986.3924555921866,1100.9157836968782,1769.842452740959,197.03886469890165,88,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
34,80,986.3924555921866,1111.9592635502074,2028.6893586954698,204.0837932415309,83,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
35,86,986.3924555921866,1153.2333211802581,1949.7395834977956,249.43111720239548,81,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
36,79,986.3924555921866,1118.2584917893791,1791.8438440337034,204.279541133411,19,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
37,89,986.3924555921866,1125.962696264759,2751.862785540199,250.56934931239692,4,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
38,80,986.3924555921866,1118.1371374124617,2368.4550263686547,220.52180611126556,28,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
39,88,986.3924555921866,1109.7601695093579,1996.1335775158227,206.44628916470083,2,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
40,84,986.3924555921866,1126.1017572036917,2132.332470086204,229.40981986426527,1,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
41,78,986.3924555921866,1117.0233524584585,2046.9335878880786,192.53259078445654,0,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
42,93,986.3924555921866,1167.968353806789,2953.178096681712,286.8014866926192,6,"[210, 108, 84, 38, 174, 14, 113, 233, 24, 212]"
