gen,nevals,min,avg,max,std,best,traps
0,225,659.5861588294465,969.1458706087199,1510.3137055508935,178.77061063180417,55,"[176, 231, 19, 77, 95, 153, 157, 26, 108, 18, 172, 127, 126, 24, 212]"
1,124,633.2725964747156,868.6483421520298,1413.4429026959535,131.64693927891005,13,"[41, 220, 84, 161, 194, 8, 111, 28, 120, 124, 147, 132, 221, 24, 212]"
2,114,659.5861588294465,821.6241443483195,1373.8528887841844,131.31380262408825,148,"[176, 231, 19, 77, 95, 153, 157, 26, 108, 18, 172, 127, 126, 24, 212]"
3,115,640.3739978766012,779.8588379295098,1171.2425907325892,92.07616072681708,165,"[14, 96, 198, 34, 74, 68, 167, 202, 116, 183, 39, 110, 157, 24, 212]"
4,119,640.3739978766012,804.3690111119575,1298.8892190581523,141.47199170836757,82,"[14, 96, 198, 34, 74, 68, 167, 202, 116, 183, 39, 110, 157, 24, 212]"
5,127,640.3739978766012,776.3085525556316,1219.51339835929,124.15877749383559,162,"[14, 96, 198, 34, 74, 68, 167, 202, 116, 183, 39, 110, 157, 24, 212]"
6,104,640.3739978766012,751.1098647426282,1272.2295505847746,117.87585676739266,73,"[14, 96, 198, 34, 74, 68, 167, 202, 116, 183, 39, 110, 157, 24, 212]"
7,135,640.3739978766012,762.8399670982933,1564.5487512866252,148.66973412745546,8,"[14, 96, 198, 34, 74, 68, 167, 202, 116, 183, 39, 110, 157, 24, 212]"
8,137,633.2608081040087,761.2705946229072,1447.4965054348497,137.8505884101961,68,"[14, 102, 163, 34, 74, 29, 167, 120, 116, 183, 228, 110, 157, 24, 212]"
9,123,633.2608081040087,768.8069153570037,1427.6162149782267,148.43829195366484,164,"[14, 102, 163, 34, 74, 29, 167, 120, 116, 183, 228, 110, 157, 24, 212]"
10,121,624.5634013773499,740.8401264936457,1227.1513600895953,118.97545127922233,122,"[14, 96, 198, 34, 180, 68, 88, 202, 116, 183, 39, 169, 157, 24, 212]"
11,118,624.5634013773499,746.2395387998953,1362.3361624660122,141.19589102356596,55,"[14, 96, 198, 34, 180, 68, 88, 202, 116, 183, 39, 169, 157, 24, 212]"
12,139,634.7495344978321,752.0340745870272,1261.9082421420396,137.42068391354385,118,"[86, 220, 84, 230, 157, 198, 14, 169, 176, 9, 31, 180, 147, 24, 212]"
13,137,610.1995672138759,739.0620075462866,1523.912402513355,143.70810316820004,57,"[14, 235, 19, 34, 74, 177, 167, 202, 232, 183, 84, 110, 157, 24, 212]"
14,131,610.1995672138759,735.3736185813866,1288.0512983086444,138.85645766933223,35,"[14, 235, 19, 34, 74, 177, 167, 202, 232, 183, 84, 110, 157, 24, 212]"
15,128,618.7923991266533,723.3123011471206,1705.547859545186,149.72182280939145,59,"[14, 96, 198, 34, 74, 228, 167, 202, 5, 183, 39, 110, 157, 24, 212]"
16,127,616.4093722757605,715.0587382546717,1503.3461145823512,132.39990815826016,58,"[14, 96, 198, 34, 74, 228, 167, 202, 116, 183, 39, 110, 157, 24, 212]"
17,144,613.4823480460768,729.8604043665596,1511.2773511793303,154.05884755778112,26,"[14, 96, 227, 34, 74, 6, 167, 202, 116, 183, 84, 110, 157, 24, 212]"
18,132,613.4823480460768,711.2502179372466,1388.4787127967052,129.08209545375982,17,"[14, 96, 227, 34, 74, 6, 167, 202, 116, 183, 84, 110, 157, 24, 212]"
