gen,nevals,min,avg,max,std,best,traps
0,225,668.1509522634632,965.4159249481532,1597.432401994406,180.58243999553306,164,"[22, 176, 59, 133, 224, 34, 123, 110, 129, 144, 231, 163, 105, 24, 212]"
1,125,663.9303643416507,869.6807718956737,1372.726086687857,135.042154661568,219,"[119, 88, 65, 221, 32, 105, 23, 185, 11, 74, 118, 145, 197, 24, 212]"
2,127,629.2071402357011,831.6376493173572,1422.2560863074184,124.62161171038377,198,"[227, 80, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
3,124,629.2071402357011,812.3478218862872,1361.585550218108,118.11503604537684,84,"[227, 80, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
4,127,629.2071402357011,794.8728670883024,1562.7380567095051,129.8449145630616,116,"[227, 80, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
5,120,629.2071402357011,794.8166809687885,1435.8307914038608,141.65365076390194,46,"[227, 80, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
6,122,622.4833475160302,788.997351001009,1345.073671871876,137.6278055011729,190,"[119, 202, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
7,102,622.4833475160302,755.686185346547,1292.7209868656194,111.67835092751454,207,"[119, 202, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
8,130,622.4833475160302,764.7839818891663,1378.50377230031,133.0510883539597,36,"[119, 202, 173, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
9,124,619.8104567162528,755.1678872553712,1297.3785476826106,128.08688604393134,218,"[119, 202, 110, 196, 46, 34, 67, 5, 11, 74, 146, 181, 143, 24, 212]"
10,120,615.4191696207452,744.3168154454523,1277.3696369324853,129.7857351903519,216,"[227, 202, 110, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
11,125,619.6283056466941,738.2571732364875,1402.0379677090082,138.2002343863295,44,"[227, 202, 110, 196, 46, 34, 67, 5, 11, 74, 146, 181, 143, 24, 212]"
12,127,619.6064068902652,732.081435731995,1250.0527581662054,145.23136247934616,42,"[119, 202, 65, 196, 46, 34, 67, 185, 11, 74, 146, 181, 143, 24, 212]"
13,117,606.799446869867,722.7486147323046,1364.1289520926089,140.8399217921388,53,"[119, 202, 103, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
14,124,606.799446869867,711.3178173647407,1287.9895845865447,134.4259807642381,71,"[119, 202, 103, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
15,132,606.799446869867,703.5803340497258,1241.0258147762872,141.2204107607961,7,"[119, 202, 103, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
16,127,606.799446869867,700.4375661773392,1307.1252636405732,127.2546988487434,96,"[119, 202, 103, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
17,138,601.6376755960492,708.3321312448571,1232.4409903207913,137.5167563660072,67,"[119, 80, 173, 196, 78, 34, 223, 35, 11, 88, 146, 181, 208, 24, 212]"
18,120,598.1924038923064,705.572983118761,1268.8986266666889,135.96844563383848,108,"[119, 202, 110, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
19,120,598.1924038923064,711.1575294023439,1488.7684640798002,142.0721555705638,81,"[119, 202, 110, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
20,126,598.1924038923064,712.6145641974484,1262.0366681111227,146.30278381242724,85,"[119, 202, 110, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
21,124,598.1924038923064,718.2080231899512,1320.3413281173723,147.71163801106078,18,"[119, 202, 110, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
22,134,598.1924038923064,694.0731834498249,1296.894553902491,114.86336138933022,44,"[119, 202, 110, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
23,130,598.1924038923064,685.301023795591,1293.2524550467315,125.1517836092783,13,"[119, 202, 110, 196, 46, 34, 67, 185, 11, 74, 225, 181, 143, 24, 212]"
