gen,nevals,min,avg,max,std,best,traps
0,300,483.76422264255945,679.7284225075325,1219.5716717255684,130.03830933316775,222,"[192, 147, 108, 14, 172, 186, 102, 16, 94, 194, 223, 104, 99, 22, 176, 40, 209, 89, 24, 212]"
1,170,476.24645369646703,616.6696617996732,1181.7146511186077,98.86204997849688,17,"[218, 231, 32, 100, 235, 67, 200, 164, 29, 167, 122, 102, 39, 58, 188, 145, 173, 15, 24, 212]"
2,160,472.4144478840322,593.8871108445545,1091.9851900073827,101.21592807437321,209,"[11, 188, 157, 174, 220, 34, 110, 66, 181, 227, 125, 96, 187, 203, 195, 118, 172, 22, 24, 212]"
3,163,475.0865539527699,573.9619189510078,1191.089972332708,94.11915077556282,143,"[206, 224, 57, 120, 154, 28, 32, 226, 92, 17, 89, 108, 229, 166, 179, 9, 113, 155, 24, 212]"
4,187,460.44770737495855,573.0709146048416,1105.8023763704668,107.31361407032406,61,"[39, 71, 14, 167, 84, 154, 38, 118, 124, 106, 216, 67, 128, 4, 153, 115, 194, 215, 24, 212]"
5,158,472.33939505834593,570.534899586898,1171.1069845204622,111.20745205474168,217,"[9, 49, 104, 153, 185, 131, 110, 166, 119, 160, 181, 18, 127, 194, 155, 231, 40, 11, 24, 212]"
6,176,460.268038806663,569.3432883884764,1103.869682676887,107.9164582144659,90,"[206, 49, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 166, 179, 9, 150, 11, 24, 212]"
7,180,460.268038806663,557.5292570106983,1125.908055741361,96.23749399014386,88,"[206, 49, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 166, 179, 9, 150, 11, 24, 212]"
8,175,460.268038806663,552.5951295606855,1081.4216073850828,91.2413124509829,122,"[206, 49, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 166, 179, 9, 150, 11, 24, 212]"
9,157,456.37880256993867,543.4502560464896,1041.5792668601703,91.26354324655944,20,"[206, 224, 159, 93, 154, 28, 110, 126, 233, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
10,176,456.37880256993867,542.0808762740777,1037.574390863768,94.4032540225642,7,"[206, 224, 159, 93, 154, 28, 110, 126, 233, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
11,165,456.37880256993867,540.5901525759011,1203.0486196877937,94.3423467466264,76,"[206, 224, 159, 93, 154, 28, 110, 126, 233, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
12,152,456.37880256993867,536.3210510264956,1116.5941544391787,97.24922217580169,22,"[206, 224, 159, 93, 154, 28, 110, 126, 233, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
13,167,452.1019579406758,541.3365943885749,1031.3131403329674,97.04953385155903,232,"[206, 224, 57, 93, 88, 28, 110, 126, 113, 194, 5, 177, 199, 50, 207, 40, 181, 155, 24, 212]"
14,173,452.1019579406758,541.0512223529992,1206.244620660671,106.99257648179082,238,"[206, 224, 57, 93, 88, 28, 110, 126, 113, 194, 5, 177, 199, 50, 207, 40, 181, 155, 24, 212]"
15,168,445.64040524666564,536.5583162113018,970.9215735670425,96.0399423508463,254,"[206, 224, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 50, 179, 9, 150, 11, 24, 212]"
16,174,445.64040524666564,538.2088159723553,1083.8442443758365,99.14549535442914,43,"[206, 224, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 50, 179, 9, 150, 11, 24, 212]"
17,167,445.64040524666564,530.2397237367237,1157.0796141555888,103.28102434866518,3,"[206, 224, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 50, 179, 9, 150, 11, 24, 212]"
18,168,445.64040524666564,518.4180634906378,1053.7361715114105,92.80346240044234,9,"[206, 224, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 50, 179, 9, 150, 11, 24, 212]"
19,176,445.64040524666564,527.0036909672864,1086.0202853797196,107.85127773081703,29,"[206, 224, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 50, 179, 9, 150, 11, 24, 212]"
20,162,445.64040524666564,518.4016681383382,1346.7782598773276,93.67353272251381,112,"[206, 224, 57, 40, 185, 131, 208, 119, 92, 104, 181, 108, 127, 50, 179, 9, 150, 11, 24, 212]"
21,162,444.8427891040274,522.5927837753251,1053.0369498978503,110.64823650411294,4,"[206, 224, 57, 40, 154, 131, 110, 119, 92, 104, 181, 177, 127, 50, 207, 9, 150, 11, 24, 212]"
22,176,444.8427891040274,527.9859585484754,1020.1959718281882,105.33644299216584,12,"[206, 224, 57, 40, 154, 131, 110, 119, 92, 104, 181, 177, 127, 50, 207, 9, 150, 11, 24, 212]"
23,188,444.7572238444767,523.4749215780082,1062.9620979359547,107.56533188230942,260,"[206, 224, 57, 93, 154, 28, 110, 126, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
24,167,444.4923039215016,517.5232131160122,1072.4691013625638,103.9704150166371,201,"[206, 224, 57, 40, 154, 131, 208, 119, 92, 104, 181, 177, 127, 50, 179, 9, 150, 11, 24, 212]"
25,172,444.4923039215016,525.0404773295476,1235.3450043200878,110.29413809991082,132,"[206, 224, 57, 40, 154, 131, 208, 119, 92, 104, 181, 177, 127, 50, 179, 9, 150, 11, 24, 212]"
26,175,444.4923039215016,518.3051777276747,1218.582148909852,111.49213585858357,110,"[206, 224, 57, 40, 154, 131, 208, 119, 92, 104, 181, 177, 127, 50, 179, 9, 150, 11, 24, 212]"
27,160,444.4923039215016,510.56196483368876,1052.6189421543716,96.38781942735338,38,"[206, 224, 57, 40, 154, 131, 208, 119, 92, 104, 181, 177, 127, 50, 179, 9, 150, 11, 24, 212]"
28,186,444.4923039215016,512.9391512472262,996.5378805226666,103.43241471864648,77,"[206, 224, 57, 40, 154, 131, 208, 119, 92, 104, 181, 177, 127, 50, 179, 9, 150, 11, 24, 212]"
29,170,441.666611976299,505.16574232364724,1185.8641809028531,99.85995206158772,292,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
30,166,441.666611976299,509.1523908394222,1009.3168905530931,96.59969430575457,144,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
31,174,441.666611976299,505.85775348605773,989.6795334095963,84.21583163466795,124,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
32,178,442.6613448399415,503.52260194623466,910.5752651263911,79.26118545935287,9,"[206, 224, 57, 93, 185, 28, 208, 119, 92, 104, 181, 177, 127, 50, 179, 40, 6, 11, 24, 212]"
33,159,441.666611976299,508.73222174713834,1202.1740586438825,106.9337552269384,256,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
34,156,441.666611976299,504.41977849963905,1060.3335454996836,94.14957694544391,177,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
35,158,441.666611976299,501.3791277196169,989.3463748626333,91.02524111123954,55,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
36,138,441.666611976299,495.60364404439576,1043.9234295794772,90.55752269533447,0,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
37,173,441.666611976299,512.9665753823334,1048.5268595056916,105.87083224439714,18,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
38,159,441.666611976299,502.70610042240605,1169.7229897389404,94.61202422403514,4,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
39,175,441.666611976299,505.21628812039165,1124.7803305504408,96.42089535618553,8,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
40,159,441.666611976299,500.2230830576202,973.7783463072141,88.50975422975054,4,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
41,168,441.666611976299,501.9697625307116,1043.3805092648627,98.62421820325918,12,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
42,156,441.666611976299,503.75191426531063,1005.904075444215,93.08102943540985,3,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
43,163,441.666611976299,509.20654773110067,1089.8599637560235,102.88470893288402,0,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
44,174,441.666611976299,501.3370009386428,872.0373885230185,84.06739255045122,0,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
45,152,441.666611976299,499.4907730214821,805.9195815140754,83.702645057106,0,"[206, 224, 57, 93, 154, 28, 110, 119, 92, 104, 181, 177, 127, 50, 207, 40, 6, 11, 24, 212]"
