gen,nevals,min,avg,max,std,best,traps
0,225,642.6120434943022,955.5995169714467,1795.0312048166788,183.02856128838724,101,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
1,122,642.6120434943022,852.9812130646858,1417.5993246036562,120.63811844932492,78,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
2,116,642.6120434943022,841.4416246370265,1361.6448085992427,137.6561872427849,29,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
3,114,642.6120434943022,798.251994216146,1209.5059743687957,103.24276622720397,89,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
4,129,642.6120434943022,814.1727917077529,1379.3708296371312,144.54371327573577,92,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
5,114,630.127614548468,787.6348404105954,1375.417751569403,132.17152148712987,110,"[26, 200, 176, 169, 135, 13, 80, 68, 131, 219, 7, 67, 171, 24, 212]"
6,121,642.6120434943022,776.0463724320075,1343.1323899545162,128.40743833720245,121,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
7,127,642.6120434943022,781.6111217106927,1404.8624093448973,132.66875714645153,199,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
8,139,641.1292772646851,788.606575139152,1401.9362687069895,140.57212955804025,71,"[26, 196, 58, 169, 135, 13, 193, 192, 75, 121, 7, 173, 171, 24, 212]"
9,132,642.6120434943022,782.2115718291196,1346.8377221983894,149.07539706930174,4,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
10,132,642.6120434943022,782.635082671481,1342.9715835924792,150.39598154161195,9,"[38, 179, 17, 91, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
11,116,637.1490644760197,752.2180577630671,1213.4770701925013,114.06776594527926,219,"[38, 179, 158, 195, 165, 23, 174, 7, 183, 124, 181, 65, 69, 24, 212]"
12,135,624.2019638866074,766.1658488127401,1403.0833357157774,146.27760096687967,140,"[38, 179, 17, 91, 196, 90, 225, 74, 75, 105, 13, 173, 171, 24, 212]"
13,123,637.3765135859159,753.5759627935934,1253.0013936455066,130.6007765734206,35,"[38, 30, 17, 230, 135, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
14,133,637.3765135859159,756.0361497516581,1471.052495967604,138.47669818144388,122,"[38, 30, 17, 230, 135, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
15,125,637.3765135859159,744.0049817978623,1376.292560028649,129.93546098996,53,"[38, 30, 17, 230, 135, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
16,128,630.9003150992652,741.4347901063516,1533.4920312251172,142.91004729497558,184,"[38, 30, 17, 169, 106, 90, 174, 74, 232, 224, 96, 150, 64, 24, 212]"
17,130,615.0950559276675,725.0868802365018,1388.7793606610674,132.71499262903413,130,"[38, 30, 17, 169, 135, 90, 174, 74, 232, 224, 96, 150, 210, 24, 212]"
18,118,615.0950559276675,727.9555659118043,1438.9062050723155,145.61665249855605,20,"[38, 30, 17, 169, 135, 90, 174, 74, 232, 224, 96, 150, 210, 24, 212]"
19,113,615.0950559276675,707.55007995704,1362.098276237559,118.98351068208339,12,"[38, 30, 17, 169, 135, 90, 174, 74, 232, 224, 96, 150, 210, 24, 212]"
