gen,nevals,min,avg,max,std,best,traps
0,75,3114.7053312775847,4277.1524398732645,9576.835582311327,1192.2100110113004,48,"[142, 204, 183, 24, 212]"
1,39,3002.2891874546763,3628.364701419638,6001.5827495908825,470.9500613087185,66,"[142, 213, 183, 24, 212]"
2,45,2972.8400616120807,3466.227080163587,5683.536012739779,457.82314667340154,24,"[142, 101, 183, 24, 212]"
3,36,2975.785734699968,3427.220655151733,10439.27549778714,935.278566996111,45,"[179, 113, 196, 24, 212]"
4,42,2975.785734699968,3278.319127124573,5178.961060124748,369.3632370281298,4,"[179, 113, 196, 24, 212]"
5,33,2975.785734699968,3262.1220758745653,8458.237135076373,706.4913377094779,28,"[179, 113, 196, 24, 212]"
6,44,2895.629948788207,3420.1575085686973,19296.902148165977,1879.144310649275,66,"[173, 102, 196, 24, 212]"
7,41,2901.9545142795328,3322.946395988297,7100.262631765868,695.4268142106207,5,"[142, 113, 196, 24, 212]"
8,46,2880.1116045090866,3116.0962996082108,4179.6044139216265,269.7333634828672,57,"[191, 201, 84, 24, 212]"
9,53,2841.8146570424506,3355.8197547795808,13698.971720373727,1287.8259145389195,48,"[114, 174, 183, 24, 212]"
10,46,2841.8146570424506,3186.0515081229923,5682.368602992307,490.85675398001695,73,"[114, 174, 183, 24, 212]"
11,36,2819.6546823065105,3165.7341680008076,13387.724208073323,1220.3611202941695,16,"[114, 113, 196, 24, 212]"
12,39,2794.4681029319263,3162.0082638994786,8805.878010370341,752.4705883425287,50,"[105, 113, 196, 24, 212]"
13,48,2765.406761542214,3121.2107884313646,5485.407483293251,399.65922170676356,72,"[105, 113, 183, 24, 212]"
14,38,2816.9120278958208,3210.6379669085977,6068.2113914057845,681.7522681905514,31,"[105, 174, 183, 24, 212]"
15,33,2816.9120278958208,3051.020652993555,4821.058060232796,369.68625178338,10,"[105, 174, 183, 24, 212]"
16,45,2799.3283113856455,3285.462649508238,8843.686034951472,1068.863734024204,60,"[122, 69, 183, 24, 212]"
17,33,2799.3283113856455,3143.9367487960135,6073.3020569439705,635.4131845859563,66,"[122, 69, 183, 24, 212]"
18,35,2799.3283113856455,3137.4360222097694,8177.197453523961,872.5772265390038,1,"[122, 69, 183, 24, 212]"
19,46,2778.5915900183627,3086.568519179865,5569.542496020057,536.4307300344752,25,"[105, 143, 183, 24, 212]"
20,43,2778.5915900183627,2987.5346143487377,4840.122734503804,385.53756568987643,36,"[105, 143, 183, 24, 212]"
21,41,2778.5915900183627,3208.91698601928,22248.378743710186,2232.659951889049,6,"[105, 143, 183, 24, 212]"
22,48,2778.5915900183627,3604.8762705892805,27506.414984075673,3587.1694911394115,11,"[105, 143, 183, 24, 212]"
23,34,2778.5915900183627,3037.293426957401,4892.910184659595,483.8198324321539,11,"[105, 143, 183, 24, 212]"
24,32,2778.5915900183627,3045.8121560361856,6108.363717433774,597.6654885628591,3,"[105, 143, 183, 24, 212]"
25,47,2778.5915900183627,3001.171392777518,4339.186829186869,378.5411655970712,1,"[105, 143, 183, 24, 212]"
26,47,2778.5915900183627,3086.3960158247,8735.660726826212,822.098449729552,0,"[105, 143, 183, 24, 212]"
27,35,2778.5915900183627,2884.862857271291,4293.200276387628,261.99915522225416,0,"[105, 143, 183, 24, 212]"
28,36,2778.5915900183627,2958.194150730159,4896.388641009762,389.00100550287544,0,"[105, 143, 183, 24, 212]"
29,49,2778.5915900183627,3088.2398071742236,7523.024211180637,674.7878029092354,0,"[105, 143, 183, 24, 212]"
30,45,2778.5915900183627,3120.7033598336275,8197.811703685109,777.4673741734056,0,"[105, 143, 183, 24, 212]"
31,36,2778.5915900183627,2953.822537872648,4886.129177671591,398.4453242686816,0,"[105, 143, 183, 24, 212]"
32,35,2778.5915900183627,3020.438215894941,8637.291574842695,771.9937300273928,1,"[105, 143, 183, 24, 212]"
33,43,2778.5915900183627,3057.831470098605,9458.405796977015,911.6654747228483,1,"[105, 143, 183, 24, 212]"
34,40,2778.5915900183627,2965.091038010796,5666.699106938078,463.5938651930886,1,"[105, 143, 183, 24, 212]"
35,43,2778.5915900183627,3120.0503354712337,5710.8075448726895,620.556189817058,0,"[105, 143, 183, 24, 212]"
36,36,2778.5915900183627,3064.222736946598,6662.840819309393,625.2092086125967,1,"[105, 143, 183, 24, 212]"
37,47,2778.5915900183627,3078.058592406722,5714.106552607284,515.8952808768403,0,"[105, 143, 183, 24, 212]"
38,45,2778.5915900183627,3379.9743847763416,28979.8453673268,3054.9925283049324,0,"[105, 143, 183, 24, 212]"
39,50,2778.5915900183627,3068.8139549952416,5476.689807368303,594.7897658385433,0,"[105, 143, 183, 24, 212]"
40,40,2778.5915900183627,3027.9572756670796,5720.052695715029,488.0903953457982,0,"[105, 143, 183, 24, 212]"
41,45,2778.5915900183627,3086.9482329027633,8421.212809275557,804.8762223823304,0,"[105, 143, 183, 24, 212]"
42,46,2778.5915900183627,3198.540891428447,7955.551086908737,941.2011702693711,1,"[105, 143, 183, 24, 212]"
43,40,2778.5915900183627,3023.6075607557923,6977.714110264033,579.5600698748892,1,"[105, 143, 183, 24, 212]"
