gen,nevals,min,avg,max,std,best,traps
0,150,1089.3587396671876,1519.858688439553,2218.545633405396,224.11821324324856,16,"[122, 22, 139, 94, 174, 185, 6, 69, 24, 212]"
1,89,1111.2102730732436,1413.1665541750876,2017.1482993581844,194.78953786390014,123,"[206, 22, 139, 94, 174, 185, 6, 69, 24, 212]"
2,77,1070.6325517230903,1352.3028131648075,2024.135773106197,195.94103045090827,68,"[87, 84, 50, 32, 194, 172, 118, 11, 24, 212]"
3,79,1032.8902079711872,1308.7775259786138,1917.1048196126935,172.6132500836193,56,"[188, 32, 119, 88, 194, 185, 59, 8, 24, 212]"
4,83,1032.8902079711872,1286.4181215391532,2274.1572132057395,203.1200853523454,0,"[188, 32, 119, 88, 194, 185, 59, 8, 24, 212]"
5,81,993.9546049755826,1273.9951142593402,1977.399493225439,195.13943054523557,115,"[202, 32, 119, 88, 116, 185, 219, 8, 24, 212]"
6,90,1032.8902079711872,1277.4735284438889,2693.593146037185,249.6305258921785,56,"[188, 32, 119, 88, 194, 185, 59, 8, 24, 212]"
7,83,1032.8902079711872,1254.0106944807087,2048.6893297696215,204.3372804122626,2,"[188, 32, 119, 88, 194, 185, 59, 8, 24, 212]"
8,88,1011.1902466158998,1244.56241600063,1905.644038505974,197.79303042309755,67,"[188, 32, 119, 87, 194, 185, 84, 8, 24, 212]"
9,81,1011.1902466158998,1247.6376549302786,2927.4236335907194,236.3702680143799,24,"[188, 32, 119, 87, 194, 185, 84, 8, 24, 212]"
10,92,1011.1902466158998,1226.9317865910018,2164.2386669779376,213.78697800220667,44,"[188, 32, 119, 87, 194, 185, 84, 8, 24, 212]"
11,82,1011.1902466158998,1213.705118726991,2107.063336355168,190.09992228145123,15,"[188, 32, 119, 87, 194, 185, 84, 8, 24, 212]"
12,93,1004.3093298667335,1227.2468440657447,2024.8188301444013,196.9038264652891,64,"[188, 32, 119, 221, 116, 185, 84, 8, 24, 212]"
13,83,1004.3093298667335,1199.3662463842122,1983.7142986344181,192.13116985901624,7,"[188, 32, 119, 221, 116, 185, 84, 8, 24, 212]"
14,80,1004.3093298667335,1188.3160517404965,1884.1050576814832,196.85814454443627,24,"[188, 32, 119, 221, 116, 185, 84, 8, 24, 212]"
15,100,991.479682299972,1213.2746801307096,1782.2314773207763,216.1863609406902,117,"[202, 32, 119, 87, 194, 185, 84, 8, 24, 212]"
16,84,1004.3093298667335,1190.5453129914765,1919.0668709951526,213.62767252830778,3,"[188, 32, 119, 221, 116, 185, 84, 8, 24, 212]"
17,90,994.9350763563866,1142.685541967154,1858.1349606469485,185.8780726419822,86,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
18,88,994.9350763563866,1148.192640954601,1969.7461529435932,217.05139528684674,18,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
19,85,994.9350763563866,1148.7957370147599,3146.9515057475037,256.9943023961375,50,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
20,97,994.9350763563866,1160.7775790117244,2193.0672801579517,219.04857401479563,0,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
21,81,994.9350763563866,1137.4956534652786,1851.7429473313396,212.5458827261131,23,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
22,85,994.9350763563866,1142.8465619669498,2050.8086751496344,230.37135792627873,4,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
23,77,994.9350763563866,1138.3041315746777,2144.213469008221,227.34293827950222,1,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
24,77,994.9350763563866,1114.2927913604506,2174.2783181733557,204.7990517122771,0,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
25,87,994.9350763563866,1132.0246979414205,1990.6056755522495,212.95835895036717,2,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
26,92,994.9350763563866,1113.9361217165688,1677.531572030536,170.76333682861386,3,"[188, 32, 119, 221, 116, 183, 84, 8, 24, 212]"
