gen,nevals,min,avg,max,std,best,traps
0,300,488.53740981254913,701.7558383208191,1160.8606518076651,145.3638854392324,180,"[86, 207, 52, 158, 184, 31, 139, 45, 142, 195, 39, 19, 75, 210, 117, 219, 171, 118, 24, 212]"
1,171,488.4595584903724,626.8790172760724,1157.398447865429,102.58290398519466,278,"[220, 87, 111, 186, 130, 68, 49, 30, 89, 31, 10, 185, 189, 28, 1, 217, 198, 201, 24, 212]"
2,176,476.1960482441844,601.1052214694191,1256.474449122502,106.76106077218617,36,"[177, 129, 5, 43, 191, 218, 194, 100, 219, 18, 88, 67, 169, 230, 80, 32, 163, 214, 24, 212]"
3,169,476.1960482441844,576.9878186706281,1164.955064290638,88.82247916789561,39,"[177, 129, 5, 43, 191, 218, 194, 100, 219, 18, 88, 67, 169, 230, 80, 32, 163, 214, 24, 212]"
4,161,476.1960482441844,569.7315591337771,1001.1453245606224,93.83468690181087,38,"[177, 129, 5, 43, 191, 218, 194, 100, 219, 18, 88, 67, 169, 230, 80, 32, 163, 214, 24, 212]"
5,173,450.2004484139004,572.4200851750625,1095.924187088288,113.0924438958524,28,"[69, 85, 28, 192, 207, 202, 11, 228, 102, 153, 164, 92, 4, 177, 119, 38, 173, 135, 24, 212]"
6,174,452.69006303197204,562.9726011088597,1126.5333495946422,101.51102822367798,44,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
7,158,452.69006303197204,550.763981081883,1035.8161640931523,85.14922375204915,160,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
8,162,452.69006303197204,556.5372098046442,1128.3016849844346,97.24640651526782,126,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
9,173,452.69006303197204,556.5432368507186,1110.7323127583552,97.31613607091255,46,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
10,158,452.69006303197204,549.1881248275939,1078.9037868103635,94.5914995858696,18,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
11,171,452.69006303197204,547.3737266006772,1004.58977464128,92.0716128091594,46,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
12,171,452.69006303197204,552.7649658994907,1062.8160836521074,102.17022099012105,3,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 48, 66, 40, 189, 6, 214, 24, 212]"
13,154,448.46659819548876,542.3841368658574,1198.2240830968676,104.03117884809612,121,"[111, 173, 76, 235, 49, 134, 8, 6, 170, 18, 108, 34, 66, 230, 129, 179, 178, 214, 24, 212]"
14,174,448.46659819548876,540.16302487962,1059.7034247662066,99.55379443376842,58,"[111, 173, 76, 235, 49, 134, 8, 6, 170, 18, 108, 34, 66, 230, 129, 179, 178, 214, 24, 212]"
15,171,448.46659819548876,540.3304425196604,1196.8194187751653,101.91818655650599,142,"[111, 173, 76, 235, 49, 134, 8, 6, 170, 18, 108, 34, 66, 230, 129, 179, 178, 214, 24, 212]"
16,177,447.87884960818167,534.1199260647111,1073.6298108938668,90.26541321312091,195,"[120, 129, 5, 165, 191, 44, 17, 122, 225, 18, 170, 67, 169, 230, 80, 32, 163, 214, 24, 212]"
17,186,447.87884960818167,532.3029300581277,1175.4133676890476,101.2023319346893,76,"[120, 129, 5, 165, 191, 44, 17, 122, 225, 18, 170, 67, 169, 230, 80, 32, 163, 214, 24, 212]"
18,172,447.87884960818167,522.8645277434335,980.1441398151317,88.87090910370802,178,"[120, 129, 5, 165, 191, 44, 17, 122, 225, 18, 170, 67, 169, 230, 80, 32, 163, 214, 24, 212]"
19,162,444.79905134065007,515.8948144244882,1056.6670495506773,80.7614610829216,45,"[120, 75, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
20,157,444.79905134065007,508.88122022944543,988.2316592768587,74.45110554318502,200,"[120, 75, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
21,191,443.0401461433909,510.15147990171516,970.0048670690542,80.23165947789589,292,"[151, 152, 76, 235, 127, 194, 8, 6, 170, 18, 108, 34, 176, 69, 113, 179, 100, 214, 24, 212]"
22,182,440.51882672916116,514.3380663974891,960.9295350372822,79.34504291336143,298,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
23,154,440.51882672916116,503.48477181393497,998.6940528377891,89.47784772353153,5,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
24,175,440.51882672916116,503.6318564633345,1048.739526988205,82.12726377266858,32,"[120, 114, 185, 165, 191, 44, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
25,167,437.9344574282247,509.57586238450915,947.1666914311515,98.28647742374072,269,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 179, 6, 214, 24, 212]"
26,175,437.9344574282247,499.8267958088431,902.2254093505624,80.1631093560244,145,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 179, 6, 214, 24, 212]"
27,160,437.41196599297695,497.2081429807999,978.4352094177793,89.12106161459349,23,"[120, 114, 185, 165, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
28,161,437.41196599297695,501.14126737208676,1083.950511793586,111.67488073616136,171,"[120, 114, 185, 165, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
29,175,437.41196599297695,493.9945515221213,948.439395231066,84.2180578282279,120,"[120, 114, 185, 165, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
30,162,437.41196599297695,499.3917502622416,1023.7506879270281,89.4378417863727,34,"[120, 114, 185, 165, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
31,162,436.078429423223,494.1584320582017,994.1479343525863,81.033300688158,15,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
32,145,436.078429423223,494.15985834816985,990.908280309505,89.84220125967909,146,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
33,152,436.078429423223,499.94155892295163,1017.2208907770618,101.53241274954561,212,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
34,178,436.078429423223,503.446307055845,1061.7925806405706,96.57747153200849,48,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
35,174,436.078429423223,498.0842159281887,1028.5253534130986,85.64278547861723,57,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
36,164,436.078429423223,498.20837405249125,1049.9826696959974,101.96980086346242,79,"[120, 114, 185, 191, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
37,170,430.9943443973778,491.6475457586411,990.0568156624694,85.10689169554377,145,"[119, 114, 185, 91, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
38,163,430.9943443973778,495.05067441091893,1138.2448278502322,99.75420834590093,59,"[119, 114, 185, 91, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
39,155,430.9943443973778,497.1571072798445,983.3128851274893,96.30762831626446,210,"[119, 114, 185, 91, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
40,157,430.9943443973778,498.39530455195063,1095.0150992462916,101.75843342590096,0,"[119, 114, 185, 91, 49, 134, 17, 122, 225, 18, 121, 170, 106, 66, 40, 189, 6, 214, 24, 212]"
