gen,nevals,min,avg,max,std,best,traps
0,225,653.8302801899986,975.5384554918328,1548.1529384883847,191.80339885222182,82,"[75, 152, 87, 174, 182, 64, 41, 215, 208, 15, 186, 37, 158, 24, 212]"
1,128,645.2360002619886,889.1820623386556,1370.0980265288824,143.30229528100833,2,"[100, 34, 53, 147, 71, 184, 224, 1, 161, 84, 17, 98, 210, 24, 212]"
2,133,645.2360002619886,832.4024907683847,1407.920293788217,117.86851639441657,42,"[100, 34, 53, 147, 71, 184, 224, 1, 161, 84, 17, 98, 210, 24, 212]"
3,134,645.2360002619886,803.9458948661694,1450.5756913893072,124.14014641669421,101,"[100, 34, 53, 147, 71, 184, 224, 1, 161, 84, 17, 98, 210, 24, 212]"
4,137,645.2360002619886,812.3156058259756,1419.0813052862425,150.54967840783755,171,"[100, 34, 53, 147, 71, 184, 224, 1, 161, 84, 17, 98, 210, 24, 212]"
5,136,645.2360002619886,787.8472393397589,1391.0677729143845,127.31789790480966,18,"[100, 34, 53, 147, 71, 184, 224, 1, 161, 84, 17, 98, 210, 24, 212]"
6,134,637.3298992017519,796.2009691557059,1470.150492458618,147.6653736305385,32,"[195, 26, 106, 214, 19, 46, 9, 121, 133, 209, 116, 181, 88, 24, 212]"
7,123,644.9650110562981,772.9775722895752,1457.2281602904297,145.3263306597374,40,"[195, 26, 215, 214, 19, 105, 117, 205, 2, 123, 116, 33, 88, 24, 212]"
8,126,644.7737438887737,763.9461768493011,1334.7861953447955,134.04822605671635,169,"[100, 34, 180, 147, 71, 14, 224, 201, 229, 84, 17, 98, 210, 24, 212]"
9,135,644.7737438887737,763.1711807412753,1365.7276037903125,131.35588411510017,119,"[100, 34, 180, 147, 71, 14, 224, 201, 229, 84, 17, 98, 210, 24, 212]"
10,121,644.7737438887737,762.6670457808228,1567.809827627601,151.1902266969394,59,"[100, 34, 180, 147, 71, 14, 224, 201, 229, 84, 17, 98, 210, 24, 212]"
11,126,635.4461058290105,735.7418331455774,1268.2312907515834,117.31760613974274,76,"[90, 34, 180, 147, 43, 88, 224, 201, 151, 84, 17, 98, 210, 24, 212]"
