gen,nevals,min,avg,max,std,best,traps
0,75,3057.0748361125757,4166.772290412856,10192.665764520254,1324.5955139660568,38,"[44, 105, 202, 24, 212]"
1,38,3057.0748361125757,3650.300342376652,10733.698017414643,983.0105231938721,14,"[44, 105, 202, 24, 212]"
2,42,2998.9705677405686,3553.9370629828477,7777.256889578704,869.8222547902392,14,"[218, 105, 202, 24, 212]"
3,40,2935.00527691159,3408.9555201501585,11069.535127295416,973.6575482850959,46,"[104, 113, 166, 24, 212]"
4,44,2920.1313650768393,3297.038043657633,5818.208327965766,464.0144095117666,33,"[74, 105, 202, 24, 212]"
5,34,2920.1313650768393,3310.031510069182,5780.905754895593,575.5555962901041,31,"[74, 105, 202, 24, 212]"
6,42,2826.5740978281656,3386.231114096602,8178.712540494108,767.726178202137,46,"[104, 113, 202, 24, 212]"
7,49,2864.205702871156,3433.760462289058,9336.780860720713,1020.940637784702,38,"[214, 105, 87, 24, 212]"
8,40,2864.205702871156,3186.468776772337,4951.858466807668,420.4144053301374,40,"[214, 105, 87, 24, 212]"
9,38,2826.5740978281656,3284.973258305647,8747.216075353592,826.9620893617187,16,"[104, 113, 202, 24, 212]"
10,43,2826.5740978281656,3123.8878598780025,6162.732374010754,487.5804930344627,6,"[104, 113, 202, 24, 212]"
11,50,2857.090917924539,3457.0728379908464,21543.726866486006,2188.099162102939,42,"[131, 105, 202, 24, 212]"
12,38,2819.069523842395,3097.511394785704,4226.185936406172,359.02102627641875,62,"[122, 105, 202, 24, 212]"
13,49,2819.069523842395,3249.7153124716965,12329.871310698909,1128.753985500952,42,"[122, 105, 202, 24, 212]"
14,43,2819.069523842395,3285.2440317443156,9458.40579697696,1048.7796041006334,17,"[122, 105, 202, 24, 212]"
15,42,2819.069523842395,3139.276918296296,7069.332579333543,592.720061514045,0,"[122, 105, 202, 24, 212]"
16,43,2819.069523842395,3188.0904202269726,6730.000400583209,672.5843211151671,0,"[122, 105, 202, 24, 212]"
17,40,2819.069523842395,3125.4575993765707,10188.039833077835,876.8820933747593,2,"[122, 105, 202, 24, 212]"
18,38,2819.069523842395,3354.5988745174122,9231.356545133156,1092.7229526107212,4,"[122, 105, 202, 24, 212]"
19,41,2818.6737545521737,3072.0811975233632,4837.591024531631,396.94895559269247,4,"[183, 88, 202, 24, 212]"
20,34,2818.6737545521737,3018.5563373650634,4945.656171920447,390.4113400882143,6,"[183, 88, 202, 24, 212]"
21,43,2753.775295363386,3097.6593168072905,5525.814548706107,495.3258710809517,43,"[183, 75, 113, 24, 212]"
22,35,2753.775295363386,3101.086289813685,7874.468467573309,709.0596497418619,68,"[183, 75, 113, 24, 212]"
23,40,2753.775295363386,3058.5806457802946,8228.638259008885,711.1629837520854,8,"[183, 75, 113, 24, 212]"
24,43,2753.775295363386,3112.8864975997253,8200.47652655292,733.8688840564813,0,"[183, 75, 113, 24, 212]"
25,36,2753.775295363386,3003.9672011409216,4930.248720509657,380.538765995527,21,"[183, 75, 113, 24, 212]"
26,50,2753.775295363386,3249.94911599941,8191.377744918742,931.0912449090956,0,"[183, 75, 113, 24, 212]"
27,41,2753.775295363386,3109.8039565024173,10248.719934122793,978.5684561402352,4,"[183, 75, 113, 24, 212]"
28,41,2753.775295363386,3002.553015178783,5085.44729676381,481.39480474598224,1,"[183, 75, 113, 24, 212]"
29,40,2753.775295363386,2986.3729604420364,4965.1631161445075,482.5735561050574,0,"[183, 75, 113, 24, 212]"
30,39,2753.775295363386,3395.4965547906854,27194.527066184717,2813.9677044406367,1,"[183, 75, 113, 24, 212]"
31,38,2753.775295363386,3010.3355285508514,6806.657011931023,583.6918995488393,1,"[183, 75, 113, 24, 212]"
32,31,2753.775295363386,3079.5845504621984,9618.848800429048,927.3093539750021,0,"[183, 75, 113, 24, 212]"
33,43,2718.5917241851407,3071.3013093992704,7322.370992091379,708.6681111941656,57,"[183, 84, 113, 24, 212]"
34,44,2718.5917241851407,2959.255528648111,4174.267477977075,352.2351208214514,10,"[183, 84, 113, 24, 212]"
35,40,2718.5917241851407,3251.3025421486013,10947.65063782892,1200.0735121495816,7,"[183, 84, 113, 24, 212]"
36,52,2718.5917241851407,2979.882641120601,4237.584657805197,362.2964213419841,12,"[183, 84, 113, 24, 212]"
37,39,2718.5917241851407,3013.7037018068513,6152.4654896483335,589.6437706427872,15,"[183, 84, 113, 24, 212]"
38,44,2718.5917241851407,3033.457630945171,5222.658194720167,497.5976104288341,4,"[183, 84, 113, 24, 212]"
39,43,2718.5917241851407,3004.245643171652,5751.231153083638,590.4814297582238,1,"[183, 84, 113, 24, 212]"
40,43,2718.5917241851407,3069.5523230898466,6796.485622992056,706.5072974208949,3,"[183, 84, 113, 24, 212]"
41,40,2718.5917241851407,2952.902448668923,4094.03618820058,370.62939882398297,1,"[183, 84, 113, 24, 212]"
42,39,2718.5917241851407,3088.28916539575,11680.139496836387,1169.0936279671641,1,"[183, 84, 113, 24, 212]"
43,47,2718.5917241851407,2990.2389484465307,4606.226184300499,443.60812244049043,1,"[183, 84, 113, 24, 212]"
44,48,2718.5917241851407,3020.670714925081,7542.809319777422,692.5090109465334,0,"[183, 84, 113, 24, 212]"
45,50,2718.5917241851407,3044.283655185098,6501.039768247384,604.7694247137545,2,"[183, 84, 113, 24, 212]"
46,47,2718.5917241851407,3198.7202223188283,9587.465694182212,943.9041299108268,0,"[183, 84, 113, 24, 212]"
47,41,2718.5917241851407,3148.492388848911,11295.5115552557,1064.7609802826826,0,"[183, 84, 113, 24, 212]"
48,40,2718.5917241851407,2979.5868375773225,4624.168238587384,423.1344825100871,1,"[183, 84, 113, 24, 212]"
49,37,2718.5917241851407,3121.817198929495,9278.23379349295,912.0892786446423,0,"[183, 84, 113, 24, 212]"
50,40,2718.5917241851407,2991.2690456466153,4462.986654554299,418.1524715479132,2,"[183, 84, 113, 24, 212]"
