gen,nevals,min,avg,max,std,best,traps
0,150,1092.7644813527554,1500.4385287802208,2543.054139400602,240.64225123836303,72,"[230, 44, 116, 177, 141, 193, 84, 8, 24, 212]"
1,84,1077.1707786736827,1368.8107880597136,1968.2104134189406,171.00055930621807,75,"[96, 27, 191, 71, 136, 94, 199, 9, 24, 212]"
2,93,1061.8958018689386,1346.8459997636098,2581.2176371807195,244.61188276107237,109,"[170, 219, 38, 196, 123, 58, 82, 13, 24, 212]"
3,87,1061.8958018689386,1306.0397980583305,2042.265821316916,213.4961256345776,1,"[170, 219, 38, 196, 123, 58, 82, 13, 24, 212]"
4,92,1032.081278416697,1298.6422292489742,1948.0060028573582,219.63075106719825,132,"[230, 44, 116, 177, 214, 198, 84, 8, 24, 212]"
5,73,1032.081278416697,1274.5176757664656,3339.1986594758305,267.67254648092404,21,"[230, 44, 116, 177, 214, 198, 84, 8, 24, 212]"
6,92,1025.9226249833107,1255.8520897754106,2094.6324669910528,221.05602373624623,67,"[230, 44, 116, 177, 214, 193, 84, 8, 24, 212]"
7,80,1021.9036203827915,1226.5355752830685,2143.670962114639,216.37337032920613,93,"[230, 135, 75, 196, 174, 58, 208, 8, 24, 212]"
8,80,1021.9036203827915,1217.5546435994152,1937.1309016048801,207.14666862178572,64,"[230, 135, 75, 196, 174, 58, 208, 8, 24, 212]"
9,83,971.9685987472058,1222.8779724032622,2135.5737998151326,238.7745635244681,54,"[230, 77, 38, 196, 123, 58, 208, 8, 24, 212]"
10,80,1022.3361338885411,1197.821830713355,2143.010610144255,214.49871579677682,37,"[180, 44, 38, 196, 214, 193, 84, 8, 24, 212]"
11,72,1022.3361338885411,1157.7374253967846,1803.556734872702,184.82987564043378,58,"[180, 44, 38, 196, 214, 193, 84, 8, 24, 212]"
12,99,1023.7790158247514,1206.7646611075818,2094.467098761018,241.34282540834437,96,"[147, 111, 66, 208, 38, 17, 191, 187, 24, 212]"
13,89,1018.9620695017545,1209.89838738373,2016.1024592580286,237.143121024027,123,"[101, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
14,83,1018.9620695017545,1198.7199454906292,2984.7063100325017,256.394311041291,46,"[101, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
15,84,1018.9620695017545,1159.372561145258,1688.9716229489086,177.80128664512586,9,"[101, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
16,67,1018.9620695017545,1173.950459236311,2088.072324274223,216.14817982554317,23,"[101, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
17,89,995.0860965955454,1154.5384912913803,2104.8654186642893,212.79622583081917,103,"[185, 111, 116, 177, 38, 17, 84, 187, 24, 212]"
18,89,1016.45393113949,1167.8107183152197,2029.0476619892895,217.23725216785598,41,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
19,86,1016.45393113949,1153.1738769093206,2073.813552026736,210.50813335195085,27,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
20,83,1016.45393113949,1119.3589195252189,2125.2639809671873,199.2329083301224,36,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
21,95,1016.45393113949,1167.633799625341,1918.4021458166192,229.27587934578162,3,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
22,70,1016.45393113949,1135.0674708610145,2037.4996892558336,211.9089041554609,1,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
23,80,1016.45393113949,1112.5749575167674,2236.31892644076,194.10735051539828,3,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
24,97,1012.9486858701684,1168.6258886433525,1979.7519979664803,232.26545054304398,27,"[158, 21, 216, 177, 214, 77, 122, 8, 24, 212]"
25,80,1016.45393113949,1167.8317899190977,1891.4689288003221,220.17645699375484,0,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
26,80,1016.45393113949,1144.044835868627,2046.5319897745635,216.66565392944648,3,"[158, 44, 135, 177, 214, 193, 84, 8, 24, 212]"
27,99,1010.5305463802267,1128.4891308613705,1679.3805797080365,179.380666967177,32,"[150, 34, 135, 177, 131, 193, 84, 8, 24, 212]"
28,71,975.4232361925348,1127.4503467678526,2115.693495869243,202.86862325716046,115,"[150, 34, 135, 177, 214, 193, 84, 8, 24, 212]"
29,86,976.7725124553334,1178.4211698114084,2014.876287316845,237.2500642354387,2,"[158, 34, 135, 177, 214, 193, 84, 8, 24, 212]"
30,85,975.4232361925348,1167.4984974502593,1805.7983881883274,213.53345539872882,45,"[150, 34, 135, 177, 214, 193, 84, 8, 24, 212]"
31,75,975.4232361925348,1153.0022479086767,1822.706111432082,219.5316588472558,18,"[150, 34, 135, 177, 214, 193, 84, 8, 24, 212]"
