gen,nevals,min,avg,max,std,best,traps
0,150,1075.5630195247304,1545.13658617717,2471.6318008900166,251.4268852203898,19,"[66, 146, 193, 220, 28, 117, 99, 41, 24, 212]"
1,86,1071.7180047552117,1408.3445721091337,2086.392099488979,219.03537607126322,74,"[64, 135, 151, 40, 191, 30, 84, 190, 24, 212]"
2,77,1071.7180047552117,1320.6472901863806,2087.9799180544837,180.5751811784991,38,"[64, 135, 151, 40, 191, 30, 84, 190, 24, 212]"
3,80,1053.8406129205243,1293.6993651962532,1884.3944401410897,173.35750605588174,48,"[173, 31, 230, 74, 221, 77, 208, 25, 24, 212]"
4,68,1030.2704289391024,1283.0969366157567,2185.1524104108144,204.2030679646776,29,"[100, 178, 207, 185, 11, 31, 84, 190, 24, 212]"
5,76,1037.6178662321042,1270.8953862712779,2885.9341573444976,253.43481832600082,1,"[100, 178, 207, 185, 11, 31, 84, 203, 24, 212]"
6,81,1046.142537390873,1233.9759290981895,1957.760279567788,186.50751129039455,9,"[100, 178, 151, 185, 11, 31, 84, 190, 24, 212]"
7,87,1037.1240536271544,1220.3509801596465,1989.2022388256312,191.23306503609027,43,"[64, 207, 151, 40, 11, 205, 84, 190, 24, 212]"
8,79,1035.4640898922812,1204.341804592273,1935.078952081004,195.93577262770413,106,"[173, 31, 151, 11, 191, 77, 208, 235, 24, 212]"
9,77,1035.4640898922812,1199.108009896718,2005.77747093584,184.79606999063856,5,"[173, 31, 151, 11, 191, 77, 208, 235, 24, 212]"
10,74,1023.2057794859176,1200.0342926362534,2147.876306529648,218.99284163031885,0,"[173, 31, 151, 185, 149, 9, 84, 235, 24, 212]"
11,84,1035.4640898922812,1200.123501554492,1990.161240961504,211.5005786869854,61,"[173, 31, 151, 11, 191, 77, 208, 235, 24, 212]"
12,93,1035.4640898922812,1228.737299569151,2057.727311896781,219.54930876590217,1,"[173, 31, 151, 11, 191, 77, 208, 235, 24, 212]"
13,92,1026.8972109816496,1241.150052293961,2409.134626501187,232.01983878359133,41,"[100, 119, 151, 185, 11, 31, 84, 190, 24, 212]"
